#scaffold	subcluster_id	asmbl_acc	cdna_accs	alignment_description
NC_001133.9	48	asmbl_48	Unigene6747_YT,Unigene6747_YT	orient(a+/s?) align: 110568(1)-110860(293)
NC_001133.9	49	asmbl_49	Unigene6748_YT,Unigene6748_YT	orient(a-/s?) align: 110846(2514)-113359(1)
NC_001133.9	50	asmbl_50	Unigene6749_YT,Unigene6749_YT	orient(a+/s?) align: 114189(1)-114423(235)
NC_001133.9	51	asmbl_51	Unigene6750_YT,Unigene6750_YT	orient(a+/s?) align: 114788(1)-118542(3755)
NC_001133.9	52	asmbl_52	Unigene6751_YT,Unigene6751_YT	orient(a+/s?) align: 119840(1)-124608(4769)
NC_001133.9	53	asmbl_53	Unigene6752_YT,Unigene6752_YT	orient(a+/s?) align: 124782(1)-126865(2084)
NC_001133.9	54	asmbl_54	Unigene6753_YT,Unigene6753_YT	orient(a-/s?) align: 126896(1207)-128102(1)
NC_001133.9	55	asmbl_55	Unigene6754_YT,Unigene6754_YT	orient(a-/s?) align: 128118(985)-129102(1)
NC_001133.9	56	asmbl_56	Unigene6755_YT,Unigene6755_YT	orient(a+/s?) align: 132158(1)-134205(2048)
NC_001133.9	57	asmbl_57	Unigene6756_YT,Unigene6756_YT	orient(a-/s?) align: 133817(1899)-135715(1)
NC_001133.9	58	asmbl_58	Unigene6757_YT,Unigene6757_YT	orient(a+/s?) align: 135780(1)-136633(854)
NC_001133.9	59	asmbl_59	Unigene6758_YT,Unigene6758_YT	orient(a-/s?) align: 137550(904)-138453(1)
NC_001133.9	60	asmbl_60	Unigene6759_YT,Unigene6759_YT	orient(a+/s?) align: 138600(1)-138806(207)
NC_001133.9	61	asmbl_61	Unigene6760_YT,Unigene6760_YT	orient(a-/s?) align: 139357(2557)-141913(1)
NC_001133.9	62	asmbl_62	Unigene6761_YT,Unigene6761_YT	orient(a+/s?) align: 142139(1)-143544(1406)
NC_001133.9	63	asmbl_63	Unigene6762_YT,Unigene6762_YT	orient(a+/s?) align: 143572(1)-147641(4070)
NC_001133.9	64	asmbl_64	Unigene6763_YT,Unigene6763_YT	orient(a-/s?) align: 147556(3648)-151203(1)
NC_001133.9	65	asmbl_65	Unigene6764_YT,Unigene6764_YT	orient(a-/s?) align: 151804(260)-152063(1)
NC_001133.9	66	asmbl_66	Unigene6765_YT,Unigene6765_YT	orient(a+/s?) align: 152215(1)-154041(1827)
NC_001133.9	67	asmbl_67	Unigene6766_YT,Unigene6766_YT	orient(a-/s?) align: 153862(901)-154762(1)
NC_001133.9	68	asmbl_68	Unigene6767_YT,Unigene6767_YT	orient(a+/s?) align: 154914(1)-156877(1964)
NC_001133.9	69	asmbl_69	Unigene6768_YT,Unigene6768_YT	orient(a-/s?) align: 156704(1976)-158679(1)
NC_001133.9	70	asmbl_70	Unigene6769_YT,Unigene6769_YT	orient(a+/s?) align: 158847(1)-159916(1070)
NC_001133.9	71	asmbl_71	Unigene6770_YT,Unigene6770_YT	orient(a+/s?) align: 166285(1)-166549(265)
NC_001133.9	72	asmbl_72	Unigene6771_YT,Unigene6771_YT	orient(a-/s?) align: 166532(2495)-169026(1)
NC_001133.9	73	asmbl_73	Unigene6772_YT,Unigene6772_YT	orient(a+/s?) align: 169240(1)-170586(1347)
NC_001133.9	74	asmbl_74	Unigene6773_YT,Unigene6773_YT	orient(a-/s?) align: 170320(1425)-171744(1)
NC_001133.9	75	asmbl_75	Unigene6774_YT,Unigene6775_YT,Unigene6774_YT,Unigene6775_YT	orient(a+/s?) align: 172016(1)-175189(3174)
NC_001133.9	76	asmbl_76	Unigene6776_YT,Unigene6776_YT	orient(a+/s?) align: 175261(1)-176156(896)
NC_001133.9	77	asmbl_77	Unigene6777_YT,Unigene6777_YT	orient(a+/s?) align: 176344(1)-176545(202)
NC_001133.9	78	asmbl_78	Unigene6778_YT,Unigene6778_YT	orient(a-/s?) align: 176609(1871)-178479(1)
NC_001133.9	79	asmbl_79	Unigene6779_YT,Unigene6779_YT	orient(a-/s?) align: 178468(1621)-180088(1)
NC_001133.9	80	asmbl_80	Unigene6780_YT,Unigene6781_YT,Unigene6780_YT,Unigene6781_YT	orient(a+/s?) align: 180013(1)-180704(692)
NC_001133.9	81	asmbl_81	Unigene6782_YT,Unigene6782_YT	orient(a-/s?) align: 180684(329)-181012(1)
NC_001133.9	82	asmbl_82	Unigene6783_YT,Unigene6783_YT	orient(a+/s?) align: 181264(1)-181468(205)
NC_001133.9	83	asmbl_83	Unigene6784_YT,Unigene6784_YT	orient(a-/s?) align: 181970(465)-182434(1)
NC_001133.9	84	asmbl_84	Unigene6786_YT,Unigene6787_YT,Unigene6786_YT,Unigene6787_YT	orient(a+/s?) align: 189735(1)-192476(2742)
NC_001133.9	85	asmbl_85	Unigene6788_YT,Unigene6788_YT	orient(a+/s?) align: 192580(1)-196414(3835)
NC_001133.9	86	asmbl_86	Unigene6789_YT,Unigene6789_YT	orient(a+/s?) align: 196495(1)-197155(661)
NC_001133.9	87	asmbl_87	Unigene6790_YT,Unigene6790_YT	orient(a+/s?) align: 197151(1)-197654(504)
NC_001133.9	88	asmbl_88	Unigene6792_YT,Unigene6792_YT	orient(a+/s?) align: 198125(1)-198338(214)
NC_001133.9	89	asmbl_89	Unigene6793_YT,Unigene6793_YT	orient(a+/s?) align: 198399(1)-198585(187)
NC_001133.9	90	asmbl_90	Unigene6798_YT,Unigene6798_YT	orient(a-/s?) align: 203145(882)-204026(1)
NC_001133.9	91	asmbl_91	Unigene5515_YT,Unigene5514_YT,Unigene5515_YT	orient(a-/s?) align: 219356(549)-219904(1)
NC_001133.9	92	asmbl_92	CL17Contig1_YT	orient(a-/s?) align: 58425(2664)-61088(1)
NC_001133.9	93	asmbl_93	Unigene6724_YT	orient(a+/s?) align: 70311(1)-70572(262)
NC_001133.9	94	asmbl_94	Unigene6693_YT	orient(a-/s?) align: 29039(734)-29772(1)
NC_001133.9	95	asmbl_95	Unigene6791_YT	orient(a+/s?) align: 197773(1)-198127(355)
NC_001133.9	96	asmbl_96	Unigene6724_YT	orient(a+/s+) align: 70311(1)-70566(256)>AT....AC<74844(257)-74852(265)
NC_001134.8	97	asmbl_97	Unigene3178_YT,Unigene3178_YT	orient(a-/s?) align: 19204(2133)-21336(1)
NC_001134.8	98	asmbl_98	Unigene3179_YT,Unigene3179_YT	orient(a-/s?) align: 21613(2190)-23802(1)
NC_001134.8	99	asmbl_99	Unigene3180_YT,Unigene3180_YT	orient(a+/s?) align: 23980(1)-25004(1025)
NC_001134.8	100	asmbl_100	Unigene3181_YT,Unigene3181_YT	orient(a-/s?) align: 24836(3820)-28655(1)
NC_001134.8	101	asmbl_101	Unigene3182_YT,Unigene3182_YT	orient(a+/s?) align: 28834(1)-29044(211)
NC_001134.8	102	asmbl_102	Unigene3183_YT,Unigene3183_YT	orient(a+/s?) align: 36728(1)-39018(2291)
NC_001134.8	103	asmbl_103	Unigene3184_YT,Unigene3184_YT	orient(a+/s?) align: 39115(1)-40648(1534)
NC_001134.8	104	asmbl_104	Unigene3185_YT,Unigene3185_YT	orient(a+/s?) align: 40768(1)-43128(2361)
NC_001134.8	105	asmbl_105	Unigene3186_YT,Unigene3186_YT	orient(a+/s?) align: 43132(1)-44182(1051)
NC_001134.8	106	asmbl_106	Unigene3187_YT,Unigene3187_YT	orient(a-/s?) align: 44049(1023)-45071(1)
NC_001134.8	107	asmbl_107	Unigene3188_YT,Unigene3188_YT	orient(a+/s?) align: 45489(1)-46532(1044)
NC_001134.8	108	asmbl_108	Unigene3189_YT,Unigene3190_YT,Unigene3189_YT,Unigene3190_YT	orient(a+/s?) align: 46457(1)-47353(897)
NC_001134.8	109	asmbl_109	Unigene3191_YT,Unigene3191_YT	orient(a-/s?) align: 47363(1356)-48718(1)
NC_001134.8	110	asmbl_110	Unigene3192_YT,Unigene3192_YT	orient(a+/s?) align: 48657(1)-49558(902)
NC_001134.8	111	asmbl_111	Unigene3193_YT,Unigene3194_YT,Unigene3193_YT,Unigene3194_YT	orient(a+/s?) align: 49413(1)-51096(1684)
NC_001134.8	112	asmbl_112	Unigene3195_YT,Unigene3195_YT	orient(a-/s?) align: 50684(8920)-59603(1)
NC_001134.8	113	asmbl_113	Unigene3196_YT,Unigene3196_YT	orient(a-/s?) align: 59631(1130)-60760(1)
NC_001134.8	114	asmbl_114	Unigene3198_YT,Unigene3198_YT	orient(a+/s?) align: 63640(1)-66947(3308)
NC_001134.8	115	asmbl_115	Unigene3200_YT,Unigene3200_YT	orient(a-/s?) align: 69650(489)-70138(1)
NC_001134.8	116	asmbl_116	Unigene3201_YT,Unigene3201_YT	orient(a+/s?) align: 71540(1)-73083(1544)
NC_001134.8	117	asmbl_117	Unigene3202_YT,Unigene3203_YT,Unigene3202_YT,Unigene3203_YT	orient(a+/s?) align: 72955(1)-74968(2014)
NC_001134.8	118	asmbl_118	Unigene3204_YT,Unigene3204_YT	orient(a+/s?) align: 75029(1)-79974(4946)
NC_001134.8	119	asmbl_119	Unigene3205_YT,Unigene3205_YT	orient(a-/s?) align: 79897(922)-80818(1)
NC_001134.8	120	asmbl_120	Unigene3206_YT,Unigene3206_YT	orient(a-/s?) align: 80798(3520)-84317(1)
NC_001134.8	121	asmbl_121	Unigene3207_YT,Unigene3207_YT	orient(a-/s?) align: 84421(2028)-86448(1)
NC_001134.8	122	asmbl_122	Unigene3208_YT,Unigene3208_YT	orient(a+/s?) align: 88139(1)-88483(345)
NC_001134.8	123	asmbl_123	Unigene3209_YT,Unigene3209_YT	orient(a-/s?) align: 89441(214)-89654(1)
NC_001134.8	124	asmbl_124	Unigene3210_YT,Unigene3210_YT	orient(a+/s?) align: 89943(1)-92194(2252)
NC_001134.8	125	asmbl_125	Unigene3211_YT,Unigene3211_YT	orient(a+/s?) align: 92345(1)-93578(1234)
NC_001134.8	126	asmbl_126	Unigene3213_YT,Unigene3213_YT	orient(a+/s?) align: 99363(1)-99599(237)
NC_001134.8	127	asmbl_127	Unigene3214_YT,Unigene3214_YT	orient(a-/s?) align: 100335(898)-101232(1)
NC_001134.8	128	asmbl_128	Unigene3215_YT,Unigene3215_YT	orient(a-/s?) align: 101411(225)-101635(1)
NC_001134.8	129	asmbl_129	Unigene3216_YT,Unigene3216_YT	orient(a+/s?) align: 101867(1)-105335(3469)
NC_001134.8	130	asmbl_130	Unigene3217_YT,Unigene3217_YT	orient(a-/s?) align: 105210(2299)-107508(1)
NC_001134.8	131	asmbl_131	Unigene3218_YT,Unigene3218_YT	orient(a+/s?) align: 107664(1)-110069(2406)
NC_001134.8	132	asmbl_132	Unigene3219_YT,Unigene3219_YT	orient(a-/s?) align: 109805(944)-110748(1)
NC_001134.8	133	asmbl_133	Unigene3220_YT,Unigene3220_YT	orient(a+/s?) align: 110590(1)-111426(837)
NC_001134.8	134	asmbl_134	Unigene3221_YT,Unigene3221_YT	orient(a+/s?) align: 111402(1)-112821(1420)
NC_001134.8	135	asmbl_135	CL81Contig1_YT,CL81Contig1_YT	orient(a-/s?) align: 112747(703)-113449(1)
NC_001134.8	136	asmbl_136	Unigene3222_YT,Unigene3222_YT	orient(a+/s?) align: 113626(1)-115414(1789)
NC_001134.8	137	asmbl_137	Unigene3223_YT,Unigene3224_YT,Unigene3223_YT,Unigene3224_YT	orient(a+/s?) align: 115439(1)-119376(3938)
NC_001134.8	138	asmbl_138	Unigene3225_YT,Unigene3225_YT	orient(a-/s?) align: 119297(2882)-122178(1)
NC_001134.8	139	asmbl_139	Unigene3226_YT,Unigene3226_YT	orient(a-/s?) align: 122317(289)-122605(1)
NC_001134.8	140	asmbl_140	Unigene3227_YT,Unigene3227_YT	orient(a-/s?) align: 122616(2210)-124825(1)
NC_001134.8	141	asmbl_141	Unigene3228_YT,Unigene3228_YT	orient(a+/s?) align: 125038(1)-126233(1196)
NC_001134.8	142	asmbl_142	Unigene3229_YT,Unigene3229_YT	orient(a-/s?) align: 126135(1517)-127651(1)
NC_001134.8	143	asmbl_143	Unigene3230_YT,Unigene3230_YT	orient(a-/s?) align: 127668(4558)-132225(1)
NC_001134.8	144	asmbl_144	Unigene3231_YT,Unigene3231_YT	orient(a+/s?) align: 132395(1)-133909(1515)
NC_001134.8	145	asmbl_145	Unigene3232_YT,Unigene3232_YT	orient(a-/s?) align: 133845(1867)-135711(1)
NC_001134.8	146	asmbl_146	Unigene3233_YT,Unigene3233_YT	orient(a+/s?) align: 136087(1)-137587(1501)
NC_001134.8	147	asmbl_147	Unigene3234_YT,Unigene3234_YT	orient(a+/s?) align: 138047(1)-138254(208)
NC_001134.8	148	asmbl_148	Unigene3235_YT,Unigene3236_YT,Unigene3235_YT,Unigene3236_YT	orient(a+/s?) align: 138289(1)-140620(2332)
NC_001134.8	149	asmbl_149	Unigene3237_YT,Unigene3237_YT	orient(a+/s?) align: 140989(1)-141215(227)
NC_001134.8	150	asmbl_150	Unigene3238_YT,Unigene3238_YT	orient(a+/s?) align: 141189(1)-142084(896)
NC_001134.8	151	asmbl_151	Unigene3239_YT,Unigene3239_YT	orient(a-/s?) align: 142039(1073)-143111(1)
NC_001134.8	152	asmbl_152	Unigene3240_YT,Unigene3240_YT	orient(a+/s?) align: 143091(1)-143824(734)
NC_001134.8	153	asmbl_153	Unigene3241_YT,Unigene3241_YT	orient(a-/s?) align: 143611(2197)-145807(1)
NC_001134.8	154	asmbl_154	Unigene3242_YT,Unigene3242_YT	orient(a+/s?) align: 146108(1)-147039(932)
NC_001134.8	155	asmbl_155	Unigene3243_YT,Unigene3243_YT	orient(a+/s?) align: 147111(1)-150408(3298)
NC_001134.8	156	asmbl_156	Unigene3244_YT,Unigene3244_YT	orient(a-/s?) align: 150317(904)-151220(1)
NC_001134.8	157	asmbl_157	Unigene3245_YT,Unigene3245_YT	orient(a-/s?) align: 153623(4829)-158451(1)
NC_001134.8	158	asmbl_158	Unigene3246_YT,Unigene3246_YT	orient(a-/s?) align: 158504(1221)-159724(1)
NC_001134.8	159	asmbl_159	Unigene3247_YT,Unigene3248_YT,Unigene3247_YT,Unigene3248_YT	orient(a+/s?) align: 159883(1)-161603(1721)
NC_001134.8	160	asmbl_160	Unigene3249_YT,Unigene3249_YT	orient(a+/s?) align: 161617(1)-162781(1165)
NC_001134.8	161	asmbl_161	Unigene3250_YT,Unigene3250_YT	orient(a-/s?) align: 162737(1517)-164253(1)
NC_001134.8	162	asmbl_162	Unigene3251_YT,Unigene3251_YT	orient(a-/s?) align: 164330(1571)-165900(1)
NC_001134.8	163	asmbl_163	Unigene3252_YT,Unigene3252_YT	orient(a+/s?) align: 165991(1)-167438(1448)
NC_001134.8	164	asmbl_164	Unigene3253_YT,Unigene3253_YT	orient(a-/s?) align: 167274(623)-167896(1)
NC_001134.8	165	asmbl_165	Unigene3254_YT,Unigene3254_YT	orient(a+/s?) align: 168404(1)-169500(1097)
NC_001134.8	166	asmbl_166	Unigene3255_YT,Unigene3255_YT	orient(a-/s?) align: 169442(564)-170005(1)
NC_001134.8	167	asmbl_167	Unigene3256_YT,Unigene3256_YT	orient(a-/s?) align: 170079(368)-170446(1)
NC_001134.8	168	asmbl_168	Unigene3257_YT,Unigene3257_YT	orient(a+/s?) align: 171481(1)-171918(438)
NC_001134.8	169	asmbl_169	Unigene3258_YT,Unigene3258_YT	orient(a-/s?) align: 174756(2901)-177656(1)
NC_001134.8	170	asmbl_170	Unigene3259_YT,Unigene3259_YT	orient(a-/s?) align: 177750(3659)-181408(1)
NC_001134.8	171	asmbl_171	Unigene3260_YT,Unigene3260_YT	orient(a-/s?) align: 181469(804)-182272(1)
NC_001134.8	172	asmbl_172	Unigene3261_YT,Unigene3261_YT	orient(a+/s?) align: 182067(1)-184198(2132)
NC_001134.8	173	asmbl_173	Unigene3262_YT,Unigene3262_YT	orient(a+/s?) align: 184301(1)-185961(1661)
NC_001134.8	174	asmbl_174	Unigene3263_YT,Unigene3263_YT	orient(a-/s?) align: 185998(532)-186529(1)
NC_001134.8	175	asmbl_175	Unigene3264_YT,Unigene3264_YT	orient(a-/s?) align: 186750(5449)-192198(1)
NC_001134.8	176	asmbl_176	Unigene3265_YT,Unigene3265_YT	orient(a+/s?) align: 192313(1)-193648(1336)
NC_001134.8	177	asmbl_177	Unigene3266_YT,Unigene3266_YT	orient(a+/s?) align: 193917(1)-195950(2034)
NC_001134.8	178	asmbl_178	Unigene3267_YT,Unigene3267_YT	orient(a+/s?) align: 196507(1)-196729(223)
NC_001134.8	179	asmbl_179	Unigene3268_YT,Unigene3268_YT	orient(a-/s?) align: 198040(241)-198280(1)
NC_001134.8	180	asmbl_180	Unigene3269_YT,Unigene3269_YT	orient(a-/s?) align: 198774(3214)-201987(1)
NC_001134.8	181	asmbl_181	Unigene3270_YT,Unigene3270_YT	orient(a+/s?) align: 201990(1)-203261(1272)
NC_001134.8	182	asmbl_182	Unigene3271_YT,Unigene3271_YT	orient(a+/s?) align: 203538(1)-205817(2280)
NC_001134.8	183	asmbl_183	Unigene3272_YT,Unigene3273_YT,Unigene3272_YT,Unigene3273_YT	orient(a+/s?) align: 205743(1)-206987(1245)
NC_001134.8	184	asmbl_184	Unigene3274_YT,Unigene3274_YT	orient(a+/s?) align: 209539(1)-212470(2932)
NC_001134.8	185	asmbl_185	CL1486Contig1_YT,CL1486Contig1_YT	orient(a-/s?) align: 212744(4417)-217160(1)
NC_001134.8	186	asmbl_186	Unigene3275_YT,Unigene3275_YT	orient(a+/s?) align: 217304(1)-221030(3727)
NC_001134.8	187	asmbl_187	Unigene3276_YT,Unigene3276_YT	orient(a+/s?) align: 227066(1)-227412(347)
NC_001134.8	188	asmbl_188	Unigene3277_YT,Unigene3277_YT	orient(a+/s?) align: 227514(1)-235220(7707)
NC_001134.8	189	asmbl_189	Unigene3278_YT,Unigene3278_YT	orient(a-/s?) align: 235110(711)-235820(1)
NC_001134.8	190	asmbl_190	Unigene3279_YT,Unigene3280_YT,Unigene3279_YT,Unigene3280_YT	orient(a+/s?) align: 235796(1)-237171(1376)
NC_001134.8	191	asmbl_191	Unigene3281_YT,Unigene3281_YT	orient(a-/s?) align: 237101(585)-237685(1)
NC_001134.8	192	asmbl_192	Unigene3282_YT,Unigene3282_YT	orient(a-/s?) align: 237836(235)-238070(1)
NC_001134.8	193	asmbl_193	Unigene3283_YT,Unigene3284_YT,Unigene3283_YT,Unigene3284_YT	orient(a+/s?) align: 238472(1)-241430(2959)
NC_001134.8	194	asmbl_194	Unigene3285_YT,Unigene3285_YT	orient(a-/s?) align: 241429(1165)-242593(1)
NC_001134.8	195	asmbl_195	Unigene3286_YT,Unigene3286_YT	orient(a+/s?) align: 242775(1)-244370(1596)
NC_001134.8	196	asmbl_196	Unigene3287_YT,Unigene3287_YT	orient(a-/s?) align: 244285(1445)-245729(1)
NC_001134.8	197	asmbl_197	Unigene3288_YT,Unigene3289_YT,Unigene3288_YT,Unigene3289_YT	orient(a+/s?) align: 245817(1)-246842(1026)
NC_001134.8	198	asmbl_198	Unigene3290_YT,Unigene3290_YT	orient(a+/s?) align: 246879(1)-248632(1754)
NC_001134.8	199	asmbl_199	Unigene3291_YT,Unigene3291_YT	orient(a-/s?) align: 248571(2616)-251186(1)
NC_001134.8	200	asmbl_200	Unigene3292_YT,Unigene3293_YT,Unigene3292_YT,Unigene3293_YT	orient(a+/s?) align: 251614(1)-254787(3174)
NC_001134.8	201	asmbl_201	Unigene3294_YT,Unigene3294_YT	orient(a-/s?) align: 255163(715)-255877(1)
NC_001134.8	202	asmbl_202	Unigene3295_YT,Unigene3296_YT,Unigene3295_YT,Unigene3296_YT	orient(a+/s?) align: 255894(1)-257006(1113)
NC_001134.8	203	asmbl_203	Unigene3297_YT,Unigene3297_YT	orient(a-/s?) align: 256910(1179)-258088(1)
NC_001134.8	204	asmbl_204	Unigene3298_YT,Unigene3298_YT	orient(a+/s?) align: 258244(1)-258458(215)
NC_001134.8	205	asmbl_205	Unigene3300_YT,Unigene3300_YT	orient(a+/s?) align: 266379(1)-266582(204)
NC_001134.8	206	asmbl_206	Unigene3301_YT,Unigene3301_YT	orient(a-/s?) align: 269699(553)-270251(1)
NC_001134.8	207	asmbl_207	Unigene3303_YT,Unigene3304_YT,Unigene3303_YT,Unigene3304_YT	orient(a+/s?) align: 270424(1)-273750(3327)
NC_001134.8	208	asmbl_208	Unigene3305_YT,Unigene3305_YT	orient(a-/s?) align: 274327(1231)-275557(1)
NC_001134.8	209	asmbl_209	Unigene3306_YT,Unigene3306_YT	orient(a-/s?) align: 276189(386)-276574(1)
NC_001134.8	210	asmbl_210	Unigene3307_YT,Unigene3307_YT	orient(a+/s?) align: 276742(1)-278213(1472)
NC_001134.8	211	asmbl_211	Unigene3308_YT,Unigene3309_YT,Unigene3310_YT,Unigene3308_YT,Unigene3309_YT,Unigene3310_YT	orient(a-/s?) align: 279010(1947)-280956(1)
NC_001134.8	212	asmbl_212	Unigene3311_YT,Unigene3311_YT	orient(a+/s?) align: 281231(1)-283483(2253)
NC_001134.8	213	asmbl_213	Unigene3312_YT,Unigene3313_YT,Unigene3312_YT,Unigene3313_YT	orient(a+/s?) align: 283360(1)-284408(1049)
NC_001134.8	214	asmbl_214	Unigene3314_YT,Unigene3314_YT	orient(a-/s?) align: 284241(3840)-288080(1)
NC_001134.8	215	asmbl_215	Unigene3315_YT,Unigene3315_YT	orient(a+/s?) align: 288254(1)-288742(489)
